LGCYINVESTORID,FULLNAME,kmeans_2,AUM
2000264,"Lone Pine Capital, L.L.C.",0,
2001934,Voya Investment Management LLC,0,
2001935,"UBS Financial Services, Inc.",0,
2001989,"Ariel Investments, LLC",1,
2001999,JP Morgan Asset Management,0,
2002019,Berkshire Hathaway Inc.,0,
2002142,Marathon Asset Management LLP,0,
2002146,"The Baupost Group, L.L.C.",1,
2002158,Fisher Investments,0,
2002179,"Heartland Advisors, Inc.",1,
2002180,Impax Asset Management LLC,0,
2002195,Goldman Sachs Asset Management (US),0,
2002205,"Davis Selected Advisers, L.P.",0,
2002222,"Angelo, Gordon & Co., L.P.",1,
2002292,"Farallon Capital Management, L.L.C.",0,
2002295,Caxton Associates LP,0,
2002303,Kynikos Associates LP,0,
2002362,Franklin Templeton Investments Corporation,0,
2002389,Paloma Partners Management Company,0,
2002446,"Invesco Management Group, Inc.",0,
2002451,AllianceBernstein L.P.,0,
2002468,"Northern Trust Investments, Inc.",0,
2002496,Barings LLC,0,
2002506,BNY Mellon Asset Management,0,
2002511,Deutsche Asset Management Americas,0,
2002548,Brown Brothers Harriman & Company,0,
2002582,Victory Capital Management Inc.,0,
2002628,"Conning, Inc.",0,
2002658,"Dimensional Fund Advisors, L.P.",0,
2002659,Dodge & Cox,0,
2002678,Eaton Vance Management,0,
2002695,Oppenheimer Asset Management Inc.,0,
2002713,"U.S. Bancorp Asset Management, Inc.",0,
2002715,Credit Suisse Securities (USA) LLC,0,
2002801,Grantham Mayo Van Otterloo & Co LLC,0,
2002819,Harris Associates L.P.,0,
2002823,Hartford Investment Management Company,0,
2002848,Columbia Threadneedle Investments (US),0,
2002867,"Invesco Advisers, Inc.",0,
2002875,"American Century Investment Management, Inc.",0,
2002921,"Lazard Asset Management, L.L.C.",0,
2002946,"Loomis, Sayles & Company, L.P.",0,
2002947,"Lord, Abbett & Co. LLC",0,
2002962,"Manning & Napier Advisors, LLC",0,
2002964,Manulife Asset Management Limited,0,
2002975,MFS Investment Management,0,
2003003,"BlackRock Investment Management, LLC",0,
2003020,BofA Global Research (US),0,
2003028,Morgan Stanley & Co. LLC,0,
2003064,"New York Life Investment Management, LLC",1,451236.0
2003101,PIMCO (US),0,
2003121,"Virtus Investment Advisers, Inc.",0,
2003131,"T. Rowe Price Associates, Inc.",0,
2003135,"BlackRock Financial Management, Inc.",0,
2003144,"Putnam Investment Management, L.L.C.",0,
2003147,Royce Investment Partners,1,14500.0
2003150,"Raymond James & Associates, Inc.",0,
2003171,AXA Rosenberg Investment Management LLC,0,
2003177,RBC Global Asset Management Inc.,0,
2003228,"Soros Fund Management, L.L.C.",0,
2003230,"Southeastern Asset Management, Inc.",1,15333.0
2003245,State Street Global Advisors (US),0,
2003251,"Sterling Capital Management, LLC",0,
2003263,Sun Life Assurance Company of Canada (Toronto),0,
2003294,Invesco Canada Ltd.,0,
2003299,TCW Asset Management Company LLC,0,
2003306,"Tweedy, Browne Company LLC",0,
2003332,Principal Global Investors (Equity),0,
2003354,"Wellington Management Company, LLP",0,
2003356,"BlackRock Institutional Trust Company, N.A.",0,
2003361,"Fort Washington Investment Advisors, Inc.",0,
2003403,BlackRock (Netherlands) B.V.,0,
2003543,Amundi Asset Management,0,
2003597,Natixis Wealth Management SA,1,830847.0
2003671,BlackRock Advisors (UK) Limited,0,
2003675,BMO Global Asset Management,0,
2003700,AXA Investment Managers UK Ltd.,0,
2003710,Aviva Investors Global Services Limited,0,
2003716,Janus Henderson Investors,0,
2003762,Aegon Asset Management Ltd,0,
2003773,Franklin Templeton Investment Management Ltd.,0,
2003800,Legal & General Investment Management Ltd.,0,
2003819,BlackRock Investment Management (UK) Ltd.,0,
2003828,Pictet Asset Management Ltd.,0,
2003838,GAM International Management Ltd.,0,
2004000,"Nomura Asset Management Co., Ltd.",0,
2004134,"Thornburg Investment Management, Inc.",0,
2004260,"The Vanguard Group, Inc.",0,
2004282,Elliott Management Corporation,0,
2004318,CarVal Investors L.P.,1,
2004344,Tudor Investment Corporation,0,
2004351,"Charles Schwab Investment Management, Inc.",0,
2004490,"D. E. Shaw & Co., L.P.",0,
2004523,"Apollo Global Management, LLC",1,207840.0
2004601,Davidson Kempner Capital Management LP,0,
2004609,"Moore Capital Management, LP",0,
2004627,"Bridgewater Associates, LP",0,
2004684,"Westchester Capital Management, LLC",0,
2004887,"HBK Investments, L.P.",0,
2004904,"Omega Advisors, Inc.",1,
2004971,Emerald Advisers LLC,1,
2005078,BlackRock Investment Management (Australia) Ltd.,0,
2005124,Franklin Templeton Investments Australia Ltd.,0,
2005645,"BlackRock Japan Co., Ltd.",0,
2005801,Canyon Capital Advisors LLC,0,
2005821,"Maverick Capital, Ltd.",0,
2005881,"Appaloosa Management, L.P.",0,
2005893,"Carlson Capital, L.P.",0,
2005964,Guggenheim Investments,0,
2006020,"OrbiMed Advisors, LLC",0,
2006033,Saturna Capital Corporation,0,
2006150,Fir Tree Partners,0,
2006207,Platinum Investment Management Ltd.,0,
2006241,"Sculptor Capital Management, Inc",0,
2006332,Egerton Capital (UK) LLP,0,
2006430,"Cerberus Capital Management, L.P.",1,
2006452,Citadel Advisors LLC,0,
2006474,Artisan Partners Limited Partnership,0,
2006588,"Oaktree Capital Management, L.P.",1,83470.0
2006672,Third Point LLC,0,
2006800,"Kayne Anderson Capital Advisors, L.P.",0,
2006825,"Matthews International Capital Management, L.L.C.",0,
2006840,"Select Equity Group, L.P.",0,
2006922,"Pzena Investment Management, LLC",0,
2006955,"Greenlight Capital, Inc.",1,
2006990,Pacific Global Investment Management Co.,0,
2007039,BlackRock International Ltd.,0,
2007217,Renaissance Technologies LLC,0,
2007403,Prudential Financial Securities Invt.Trust Enterprise Ltd.,0,
2007567,Stifel Nicolaus Investment Advisors,0,
2007683,"Highfields Capital Management, L.P.",0,
2113769,"Legg Mason Asset Management (Japan) Co., Ltd.",0,
2247678,Viking Global Investors LP,0,
2275507,"Franklin Templeton Investimentos (Brasil), Ltda.",1,628243.0
2380201,Edward Jones,0,
2386352,"Arrowstreet Capital, Limited Partnership",0,
2401336,"Glenview Capital Management, LLC",0,
2401343,BlackRock Asset Management Deutschland AG,0,
2412347,Millennium Management LLC,0,
2412732,"AQR Capital Management, LLC",0,
2414807,"Discovery Capital Management, LLC",1,
2416337,"Coatue Management, L.L.C.",0,
2420555,"King Street Capital Management, L.P.",1,
2423945,York Capital Management L P.,0,
2426047,"ValueAct Capital Management, L.P.",0,
2447262,Cheyne Capital Management (UK) LLP,1,20045.0
2449877,Causeway Capital Management LLC,0,
2452904,Paulson & Co. Inc.,0,
2455426,"Adage Capital Management, L.P.",0,
2463029,BlackRock Asset Management Canada Limited,0,
2487483,Lindsell Train Limited,0,
2490223,Northern Trust Global Investments Limited,0,
2490230,"GoldenTree Asset Management, LP",1,
2494658,The Carlyle Group,1,
2498287,"TPG Capital, L.P.",0,
2500087,"Spectrum Asset Management, Inc.",1,
2500944,Wells Fargo Advisors,0,
2502059,"MKP Capital Management, L.L.C.",0,
2502377,BNP Paribas Securities Corp. North America,0,
2503132,"Fortress Investment Group, L.L.C.",1,
2507775,Balyasny Asset Management LP,0,
2529162,"Graham Capital Management, L.P.",0,
2546136,Winton Capital Management Ltd.,0,
2575181,"Neuberger Berman, LLC",0,
2575182,SEI Investments Management Corporation,0,
2578454,"Two Sigma Investments, LP",0,
2587535,Northern Trust Global Investments,0,
2592292,"Silver Point Capital, L.P.",1,
2620417,"Brookfield Asset Management, Inc.",1,13465.0
2625886,The Blackstone Group,0,
2627998,"Geode Capital Management, L.L.C.",0,
2639138,BlueCrest Capital Management LLP,0,
2646754,Quilter Cheviot Investment Management,1,
2655110,Invesco Capital Management LLC,0,
2785553,"Tiger Global Management, L.L.C.",0,
2906273,"Great Point Partners, LLC",1,
2926442,Scopia Capital Management LP,1,
2930530,Cevian Capital,1,
2931843,Ares Management LLC,1,88739.0
2994959,Axiom Asset Management,0,
3015075,"Anchorage Capital Group, L.L.C.",1,
3318171,"BlueMountain Capital Management, LLC",1,18300.0
3365036,Magnetar Capital Partners LP,0,
3676543,"Pershing Square Capital Management, L.P.",0,
3706224,Capula Investment Management LLP,0,
3828352,"Mercer Global Advisors, Inc.",1,
3965008,GAM Systematic LLP,1,135637.0
4040011,"Trian Fund Management, L.P.",0,
4059340,Glenmede Investment Management LP,0,
4889409,"Centerbridge Partners, L.P.",1,
4924814,"Brigade Capital Management, LP",1,
4950170,"Alyeska Investment Group, L.P.",0,
4962258,"Bracebridge Capital, LLC",1,
5050280,Senator Investment Group LP,0,
5200477,Quilter Investors Limited,1,
5205742,"Beach Point Capital Management, LP",1,
5206490,Arrowgrass Capital Partners (US) LP,0,
5206923,Tiger Management L.L.C.,0,
5275446,"Xponance, Inc.",1,
5308615,Tilden Park Capital Management LP,1,
5436717,"Apollo Capital Management, L.P.",1,207840.0
5480445,BlackRock (Singapore) Limited,0,
5505145,BlackRock Asset Management Ireland Limited,0,
5520904,"Element Capital Management, LLC",0,
5529187,PointState Capital LP,0,
5713469,TD Ameritrade Investment Management LLC,0,
5819294,"TIAA Endowment & Philanthropic Services, LLC",1,
5844860,Polygon Management Ltd.,1,
5915225,Natixis Assurances,0,
5986931,Benefit Street Partners L.L.C.,1,
6053249,LPL Financial LLC,0,
6129655,Park Avenue Securities LLC,0,
6139212,Standard Life Investments (Corporate Funds) Ltd,0,
6248967,"William Blair Investment Management, LLC",0,
6271047,Virtus Etf Advisers LLC,1,
6921752,GAM Capital Management (Switzerland) AG,1,135637.0
7185253,Fidelity Investments Canada ULC,0,
9098246,"Virtus Alternative Investment Advisers, Inc.",1,
9113038,"MetLife Investment Management, LLC",1,489162.0
9969058,Emerald Investment Partners LLC,1,
10061989,"Hillhouse Capital Advisors, Ltd.",0,
10075382,Franklin Templeton International Services SARL,1,628243.0
10110259,"Principal Street Partners, LLC",1,377691.0
10233291,Lighthouse Wealth Management,1,
10235680,Quilter Cheviot Europe Ltd,1,
